2.5.1.81	rxn05287	geranylgeranyl-diphosphate:isopentenyl-diphosphate transtransferase	MetaCyc: PWY-7720 (ophiobolin F biosynthesis); PWY-7736 (stellatic acid biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); SESTERTERPENOID-BIOSYNTHESIS (Sesterterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)
2.6.1.42	rxn01575	L-Isoleucine:2-oxoglutarate aminotransferase	"MetaCyc: Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); Amino-Acid-Degradation (Amino Acid Degradation); BRANCHED-CHAIN-AA-SYN-PWY (superpathway of branched chain amino acid biosynthesis); Degradation (Degradation/Utilization/Assimilation); ILEUDEG-PWY (L-isoleucine degradation I); ILEUSYN-PWY (L-isoleucine biosynthesis I (from threonine)); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); ISOLEUCINE-DEG (L-isoleucine Degradation); ISOLEUCINE-SYN (L-isoleucine Biosynthesis); PWY-3001 (superpathway of L-isoleucine biosynthesis I); PWY-5078 (L-isoleucine degradation II); PWY-5101 (L-isoleucine biosynthesis II); PWY-5103 (L-isoleucine biosynthesis III); PWY-5104 (L-isoleucine biosynthesis IV); PWY-5108 (L-isoleucine biosynthesis V); Proteinogenic-Amino-Acids-Degradation (Proteinogenic Amino Acid Degradation); THREOCAT-PWY (superpathway of L-threonine metabolism); THREONINE-DEG (L-threonine Degradation)|KEGG: rn00280 (Valine, leucine and isoleucine degradation); rn00290 (Valine, leucine and isoleucine biosynthesis); rn00966 (Glucosinolate biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01210 (2-Oxocarboxylic acid metabolism); rn01230 (Biosynthesis of amino acids)"
1.2.1.8	rxn01867	p-cumic alcohol:NAD+ oxidoreductase	"MetaCyc: AMINE-DEG (Amine and Polyamine Degradation); BETSYN-PWY (glycine betaine biosynthesis I (Gram-negative bacteria)); Betaine-Biosynthesis (Betaine Biosynthesis); CHOLINE-BETAINE-ANA-PWY (choline degradation I); Choline-Degradation (Choline Degradation); Degradation (Degradation/Utilization/Assimilation); P542-PWY (choline-<i>O</i>-sulfate degradation); PWY-3722 (glycine betaine biosynthesis II (Gram-positive bacteria)); PWY-7494 (choline degradation IV); PWY1F-353 (glycine betaine biosynthesis III (plants)); Polyamine-Biosynthesis (Amine and Polyamine Biosynthesis)|KEGG: rn00260 (Glycine, serine and threonine metabolism)"
1.1.1.157|1.1.1.35	rxn04750	(S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase	MetaCyc: AMINE-DEG (Amine and Polyamine Degradation); AROMATIC-COMPOUNDS-DEGRADATION (Aromatic Compound Degradation); Benzoyl-CoA-Degradation (Benzoyl-CoA Degradation); Degradation (Degradation/Utilization/Assimilation); PWY-1361 (benzoyl-CoA degradation I (aerobic)); PWY-6071 (superpathway of phenylethylamine degradation); PWY0-321 (phenylacetate degradation I (aerobic)); Phenolic-Compounds-Degradation (Phenolic Compound Degradation); Phenylacetate-Degradation (Phenylacetate Degradation)|KEGG: rn00360 (Phenylalanine metabolism); rn00930 (Caprolactam degradation)
3.5.1.110|4.2.1.104	rxn05064	carbamate hydro-lyase	MetaCyc: AMINE-DEG (Amine and Polyamine Degradation); ARGDEGRAD-PWY (L-arginine degradation V (arginine deiminase pathway)); ARGININE-DEG (L-arginine Degradation); ARGORNPROST-PWY (L-arginine degradation (Stickland reaction)); Allantoin-degradation (Allantoin Degradation); Amino-Acid-Degradation (Amino Acid Degradation); CITRULLINE-DEG-PWY (L-citrulline degradation); CYANCAT-PWY (cyanate degradation); Degradation (Degradation/Utilization/Assimilation); Detoxification (Detoxification); MISCELLANEOUS-DEG (Other Amino Acid Degradation); NITROGEN-DEG (Nitrogen Compound Metabolism); NUCLEO-DEG (Nucleoside and Nucleotide Degradation); Noncarbon-Nutrients (Inorganic Nutrient Metabolism); PWY0-1471 (uracil degradation III); PWY0-41 (allantoin degradation IV (anaerobic)); Proteinogenic-Amino-Acids-Degradation (Proteinogenic Amino Acid Degradation); Pyrimidine-Base-Degradation (Pyrimidine Nucleobase Degradation); Pyrimidine-Degradation (Pyrimidine Nucleotide Degradation); Uracil-Degradation (Uracil Degradation)|KEGG: rn00910 (Nitrogen metabolism)
3.5.1.25	rxn01484	N-Acetyl-D-glucosamine-6-phosphate amidohydrolase	"MetaCyc: AMINE-DEG (Amine and Polyamine Degradation); Anhydromuropeptides-Recycling (Anhydromuropeptide Recycling); CARBOXYLATES-DEG (Carboxylate Degradation); Carbohydrates-Degradation (Carbohydrate Degradation); Chitin-Degradation (Chitin Degradation); Degradation (Degradation/Utilization/Assimilation); GLCMANNANAUT-PWY (superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation); GLUAMCAT-PWY (<i>N</i>-acetylglucosamine degradation I); N-Acetylglucosamine-Degradation (<i>N</i>-acetylglucosamine degradation); P441-PWY (superpathway of <i>N</i>-acetylneuraminate degradation); POLYSACCHARIDES-DEG (Polysaccharide Degradation); PWY-6517 (<i>N</i>-acetylglucosamine degradation II); PWY-6906 (chitin derivatives degradation); PWY0-1261 (anhydromuropeptides recycling I); Polymer-Degradation (Polymeric Compound Degradation); SECONDARY-METABOLITE-DEGRADATION (Secondary Metabolite Degradation); Sugar-Derivatives (Sugar Derivative Degradation)|KEGG: rn00520 (Amino sugar and nucleotide sugar metabolism); rn01110 (Biosynthesis of secondary metabolites)"
3.5.2.5	rxn15334	(S)(+)-Allantoin amidohydrolase	MetaCyc: ALLANTOINDEG-PWY (superpathway of allantoin degradation in yeast); AMINE-DEG (Amine and Polyamine Degradation); AROMATIC-COMPOUNDS-DEGRADATION (Aromatic Compound Degradation); Allantoin-degradation (Allantoin Degradation); Degradation (Degradation/Utilization/Assimilation); P165-PWY (superpathway of purines degradation in plants); PWY-5692 (allantoin degradation to glyoxylate II); PWY-5694 (allantoin degradation to glyoxylate I); PWY-5697 (allantoin degradation to ureidoglycolate I (urea producing)); PWY-5698 (allantoin degradation to ureidoglycolate II (ammonia producing)); PWY-5705 (allantoin degradation to glyoxylate III); PWY0-41 (allantoin degradation IV (anaerobic)); URDEGR-PWY (superpathway of allantoin degradation in plants); Urate-Degradation (Urate Degradation)|KEGG: rn00230 (Purine metabolism)
4.1.1.-	rxn03393	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); PWY-6708 (ubiquinol-8 biosynthesis (prokaryotic)); Quinone-Biosynthesis (Quinol and Quinone Biosynthesis); UBISYN-PWY (superpathway of ubiquinol-8 biosynthesis (prokaryotic)); Ubiquinone-Biosynthesis (Ubiquinol Biosynthesis)|KEGG: rn00130 (Ubiquinone and other terpenoid-quinone biosynthesis); rn01110 (Biosynthesis of secondary metabolites)"
2.1.1.222	rxn03395	"S-adenosyl-L-methionine:3-(all-trans-octaprenyl)benzene-1,2-diol 2-O-methyltransferase"	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); PWY-6708 (ubiquinol-8 biosynthesis (prokaryotic)); Quinone-Biosynthesis (Quinol and Quinone Biosynthesis); UBISYN-PWY (superpathway of ubiquinol-8 biosynthesis (prokaryotic)); Ubiquinone-Biosynthesis (Ubiquinol Biosynthesis)|KEGG: rn00130 (Ubiquinone and other terpenoid-quinone biosynthesis); rn01110 (Biosynthesis of secondary metabolites)"
2.1.1.163	rxn08130	ADOMET-DMK-METHYLTRANSFER-RXN.c	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); MENAQUINONESYN-PWY (menaquinol-8 biosynthesis); Menaquinone-Biosynthesis (Menaquinol Biosynthesis); PWY-5838 (superpathway of menaquinol-8 biosynthesis I); PWY-6263 (superpathway of menaquinol-8 biosynthesis II); PWY-7992 (superpathway of menaquinol-8 biosynthesis III); Quinone-Biosynthesis (Quinol and Quinone Biosynthesis)"
6.3.2.12|6.3.2.17	rxn01603	"7,8-dihydropteroate:L-glutamate ligase (ADP-forming)"	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); FOLSYN-PWY (superpathway of tetrahydrofolate biosynthesis and salvage); Folate-Biosynthesis (Folate Biosynthesis); PWY-6612 (superpathway of tetrahydrofolate biosynthesis); PWY-6614 (tetrahydrofolate biosynthesis); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00790 (Folate biosynthesis)"
2.5.1.15	rxn02201	"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase"	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); FOLSYN-PWY (superpathway of tetrahydrofolate biosynthesis and salvage); Folate-Biosynthesis (Folate Biosynthesis); PWY-6612 (superpathway of tetrahydrofolate biosynthesis); PWY-6614 (tetrahydrofolate biosynthesis); Vitamin-Biosynthesis (Vitamin Biosynthesis)|KEGG: rn00790 (Folate biosynthesis)"
6.2.1.26	rxn02831	O-Succinylbenzoate:CoA ligase (AMP-forming)	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); DHNA-Biosynthesis (1,4-Dihydroxy-2-Naphthoate Biosynthesis); Demethylmenaquinol-6-Biosynthesis (Demethylmenaquinol-6 Biosynthesis); Demethylmenaquinol-8-Biosynthesis (Demethylmenaquinol-8 Biosynthesis); Demethylmenaquinone-Biosynthesis (Demethylmenaquinol Biosynthesis); Menaquinone-Biosynthesis (Menaquinol Biosynthesis); PWY-5837 (2-carboxy-1,4-naphthoquinol biosynthesis); PWY-5838 (superpathway of menaquinol-8 biosynthesis I); PWY-5840 (superpathway of menaquinol-7 biosynthesis); PWY-5845 (superpathway of menaquinol-9 biosynthesis); PWY-5850 (superpathway of menaquinol-6 biosynthesis I); PWY-5860 (superpathway of demethylmenaquinol-6 biosynthesis I); PWY-5861 (superpathway of demethylmenaquinol-8 biosynthesis I); PWY-5862 (superpathway of demethylmenaquinol-9 biosynthesis); PWY-5863 (superpathway of phylloquinol biosynthesis); PWY-5896 (superpathway of menaquinol-10 biosynthesis); PWY-5897 (superpathway of menaquinol-11 biosynthesis); PWY-5898 (superpathway of menaquinol-12 biosynthesis); PWY-5899 (superpathway of menaquinol-13 biosynthesis); Phylloquinone-Biosynthesis (Phylloquinol Biosynthesis); Quinone-Biosynthesis (Quinol and Quinone Biosynthesis)|KEGG: rn00130 (Ubiquinone and other terpenoid-quinone biosynthesis); rn01110 (Biosynthesis of secondary metabolites)"
4.2.1.113	rxn02832	"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate hydrolyase (2-succinylbenzoate-forming)"	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); DHNA-Biosynthesis (1,4-Dihydroxy-2-Naphthoate Biosynthesis); Demethylmenaquinol-6-Biosynthesis (Demethylmenaquinol-6 Biosynthesis); Demethylmenaquinol-8-Biosynthesis (Demethylmenaquinol-8 Biosynthesis); Demethylmenaquinone-Biosynthesis (Demethylmenaquinol Biosynthesis); Menaquinone-Biosynthesis (Menaquinol Biosynthesis); PWY-5837 (2-carboxy-1,4-naphthoquinol biosynthesis); PWY-5838 (superpathway of menaquinol-8 biosynthesis I); PWY-5840 (superpathway of menaquinol-7 biosynthesis); PWY-5845 (superpathway of menaquinol-9 biosynthesis); PWY-5850 (superpathway of menaquinol-6 biosynthesis I); PWY-5860 (superpathway of demethylmenaquinol-6 biosynthesis I); PWY-5861 (superpathway of demethylmenaquinol-8 biosynthesis I); PWY-5862 (superpathway of demethylmenaquinol-9 biosynthesis); PWY-5863 (superpathway of phylloquinol biosynthesis); PWY-5896 (superpathway of menaquinol-10 biosynthesis); PWY-5897 (superpathway of menaquinol-11 biosynthesis); PWY-5898 (superpathway of menaquinol-12 biosynthesis); PWY-5899 (superpathway of menaquinol-13 biosynthesis); Phylloquinone-Biosynthesis (Phylloquinol Biosynthesis); Quinone-Biosynthesis (Quinol and Quinone Biosynthesis)|KEGG: rn00130 (Ubiquinone and other terpenoid-quinone biosynthesis); rn01110 (Biosynthesis of secondary metabolites)"
2.5.1.74	rxn08333	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); Demethylmenaquinol-8-Biosynthesis (Demethylmenaquinol-8 Biosynthesis); Demethylmenaquinone-Biosynthesis (Demethylmenaquinol Biosynthesis); Menaquinone-Biosynthesis (Menaquinol Biosynthesis); PWY-5838 (superpathway of menaquinol-8 biosynthesis I); PWY-5852 (demethylmenaquinol-8 biosynthesis I); PWY-5861 (superpathway of demethylmenaquinol-8 biosynthesis I); Quinone-Biosynthesis (Quinol and Quinone Biosynthesis)"
5.4.4.2|5.4.99.6	rxn01258	chorismate hydroxymutase	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Cofactor-Biosynthesis (Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis); DHNA-Biosynthesis (1,4-Dihydroxy-2-Naphthoate Biosynthesis); Demethylmenaquinol-6-Biosynthesis (Demethylmenaquinol-6 Biosynthesis); Demethylmenaquinol-8-Biosynthesis (Demethylmenaquinol-8 Biosynthesis); Demethylmenaquinone-Biosynthesis (Demethylmenaquinol Biosynthesis); ENTBACSYN-PWY (enterobactin biosynthesis); Menaquinone-Biosynthesis (Menaquinol Biosynthesis); PWY-5837 (2-carboxy-1,4-naphthoquinol biosynthesis); PWY-5838 (superpathway of menaquinol-8 biosynthesis I); PWY-5840 (superpathway of menaquinol-7 biosynthesis); PWY-5845 (superpathway of menaquinol-9 biosynthesis); PWY-5850 (superpathway of menaquinol-6 biosynthesis I); PWY-5860 (superpathway of demethylmenaquinol-6 biosynthesis I); PWY-5861 (superpathway of demethylmenaquinol-8 biosynthesis I); PWY-5862 (superpathway of demethylmenaquinol-9 biosynthesis); PWY-5863 (superpathway of phylloquinol biosynthesis); PWY-5896 (superpathway of menaquinol-10 biosynthesis); PWY-5897 (superpathway of menaquinol-11 biosynthesis); PWY-5898 (superpathway of menaquinol-12 biosynthesis); PWY-5899 (superpathway of menaquinol-13 biosynthesis); PWY-5901 (2,3-dihydroxybenzoate biosynthesis); PWY-5903 (bacillibactin biosynthesis); PWY-6374 (vibriobactin biosynthesis); PWY-6406 (salicylate biosynthesis I); Phylloquinone-Biosynthesis (Phylloquinol Biosynthesis); Quinone-Biosynthesis (Quinol and Quinone Biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); Salicylate-Biosynthesis (Salicylate Biosynthesis); Siderophores-Biosynthesis (Siderophore Biosynthesis)|KEGG: rn00130 (Ubiquinone and other terpenoid-quinone biosynthesis); rn01053 (Biosynthesis of siderophore group nonribosomal peptides); rn01110 (Biosynthesis of secondary metabolites)"
1.3.1.12	rxn01268	Prephenate:NAD+ oxidoreductase(decarboxylating)	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); Antibiotic-Biosynthesis (Antibiotic Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PWY-6630 (superpathway of L-tyrosine biosynthesis); PWY-7287 (novobiocin biosynthesis); PWY-7303 (3-dimethylallyl-4-hydroxybenzoate biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); TYROSINE-SYN (L-tyrosine Biosynthesis); TYRSYN (L-tyrosine biosynthesis I)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn00401 (Novobiocin biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
4.2.1.10	rxn02213	3-Dehydroquinate hydro-lyase	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); ARO-PWY (chorismate biosynthesis I); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); AROMATIC-COMPOUNDS-DEGRADATION (Aromatic Compound Degradation); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); Chorismate-Biosynthesis (Chorismate Biosynthesis); Degradation (Degradation/Utilization/Assimilation); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PHENYLALANINE-SYN (L-phenylalanine Biosynthesis); PWY-2504 (superpathway of aromatic compound degradation via 3-oxoadipate); PWY-6163 (chorismate biosynthesis from 3-dehydroquinate); PWY-6165 (chorismate biosynthesis II (archaea)); PWY-6416 (quinate degradation II); PWY-6628 (superpathway of L-phenylalanine biosynthesis); PWY-6629 (superpathway of L-tryptophan biosynthesis); PWY-6630 (superpathway of L-tyrosine biosynthesis); PWY-6707 (gallate biosynthesis); PWY-6954 (superpathway of aromatic compound degradation via 2-hydroxypentadienoate); QUINATEDEG-PWY (quinate degradation I); Quinate-Degradation (Quinate Degradation); TRYPTOPHAN-BIOSYNTHESIS (L-tryptophan Biosynthesis); TYROSINE-SYN (L-tyrosine Biosynthesis)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
4.2.3.5	rxn01255	5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming)	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); ARO-PWY (chorismate biosynthesis I); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); Chorismate-Biosynthesis (Chorismate Biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PHENYLALANINE-SYN (L-phenylalanine Biosynthesis); PWY-6163 (chorismate biosynthesis from 3-dehydroquinate); PWY-6165 (chorismate biosynthesis II (archaea)); PWY-6628 (superpathway of L-phenylalanine biosynthesis); PWY-6629 (superpathway of L-tryptophan biosynthesis); PWY-6630 (superpathway of L-tyrosine biosynthesis); TRYPTOPHAN-BIOSYNTHESIS (L-tryptophan Biosynthesis); TYROSINE-SYN (L-tyrosine Biosynthesis)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
2.7.1.71	rxn01739	ATP:shikimate 3-phosphotransferase	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); ARO-PWY (chorismate biosynthesis I); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); Chorismate-Biosynthesis (Chorismate Biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PHENYLALANINE-SYN (L-phenylalanine Biosynthesis); PWY-6163 (chorismate biosynthesis from 3-dehydroquinate); PWY-6165 (chorismate biosynthesis II (archaea)); PWY-6628 (superpathway of L-phenylalanine biosynthesis); PWY-6629 (superpathway of L-tryptophan biosynthesis); PWY-6630 (superpathway of L-tyrosine biosynthesis); TRYPTOPHAN-BIOSYNTHESIS (L-tryptophan Biosynthesis); TYROSINE-SYN (L-tyrosine Biosynthesis)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
1.1.1.25|1.1.1.282	rxn01740	Shikimate:NADP+ 3-oxidoreductase	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); ARO-PWY (chorismate biosynthesis I); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); Chorismate-Biosynthesis (Chorismate Biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PHENYLALANINE-SYN (L-phenylalanine Biosynthesis); PWY-6163 (chorismate biosynthesis from 3-dehydroquinate); PWY-6165 (chorismate biosynthesis II (archaea)); PWY-6628 (superpathway of L-phenylalanine biosynthesis); PWY-6629 (superpathway of L-tryptophan biosynthesis); PWY-6630 (superpathway of L-tyrosine biosynthesis); TRYPTOPHAN-BIOSYNTHESIS (L-tryptophan Biosynthesis); TYROSINE-SYN (L-tyrosine Biosynthesis)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
2.5.1.19	rxn02476	Phosphoenolpyruvate:3-phosphoshikimate 5-O-(1-carboxyvinyl)-transferase	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); ARO-PWY (chorismate biosynthesis I); AROMATIC-COMPOUNDS-BIOSYN (Aromatic Compound Biosynthesis); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); Chorismate-Biosynthesis (Chorismate Biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PHENYLALANINE-SYN (L-phenylalanine Biosynthesis); PWY-6163 (chorismate biosynthesis from 3-dehydroquinate); PWY-6165 (chorismate biosynthesis II (archaea)); PWY-6628 (superpathway of L-phenylalanine biosynthesis); PWY-6629 (superpathway of L-tryptophan biosynthesis); PWY-6630 (superpathway of L-tyrosine biosynthesis); TRYPTOPHAN-BIOSYNTHESIS (L-tryptophan Biosynthesis); TYROSINE-SYN (L-tyrosine Biosynthesis)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
2.6.1.1|2.6.1.5|2.6.1.57|2.6.1.58|2.6.1.9	rxn00493	L-Phenylalanine:2-oxoglutarate aminotransferase	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); ANAPHENOXI-PWY (L-phenylalanine degradation II (anaerobic)); AROMATIC-COMPOUNDS-DEGRADATION (Aromatic Compound Degradation); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); Amino-Acid-Degradation (Amino Acid Degradation); BENZCOA-PWY (anaerobic aromatic compound degradation (<i>Thauera aromatica</i>)); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); Degradation (Degradation/Utilization/Assimilation); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PHENYLALANINE-DEG (L-phenylalanine Degradation); PHENYLALANINE-SYN (L-phenylalanine Biosynthesis); PHESYN (L-phenylalanine biosynthesis I); PWY-5079 (L-phenylalanine degradation III); PWY-6318 (L-phenylalanine degradation IV (mammalian, via side chain)); PWY-6628 (superpathway of L-phenylalanine biosynthesis); PWY-8014 (L-phenylalanine degradation VI (Stickland reaction)); Proteinogenic-Amino-Acids-Degradation (Proteinogenic Amino Acid Degradation)|KEGG: rn00360 (Phenylalanine metabolism); rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn00960 (Tropane, piperidine and pyridine alkaloid biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01210 (2-Oxocarboxylic acid metabolism); rn01230 (Biosynthesis of amino acids)"
4.2.1.122|4.2.1.20	rxn00474	L-serine hydro-lyase (adding indole; L-tryptophan-forming)	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PWY-6629 (superpathway of L-tryptophan biosynthesis); TRPSYN-PWY (L-tryptophan biosynthesis); TRYPTOPHAN-BIOSYNTHESIS (L-tryptophan Biosynthesis)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn01110 (Biosynthesis of secondary metabolites)"
2.4.2.18	rxn00791	N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PWY-6629 (superpathway of L-tryptophan biosynthesis); TRPSYN-PWY (L-tryptophan biosynthesis); TRYPTOPHAN-BIOSYNTHESIS (L-tryptophan Biosynthesis)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
4.1.1.48	rxn02507	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing)	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PWY-6629 (superpathway of L-tryptophan biosynthesis); TRPSYN-PWY (L-tryptophan biosynthesis); TRYPTOPHAN-BIOSYNTHESIS (L-tryptophan Biosynthesis)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
5.3.1.24	rxn02508	N-(5-Phospho-beta-D-ribosyl)anthranilate ketol-isomerase	"MetaCyc: ALL-CHORISMATE-PWY (superpathway of chorismate metabolism); Amino-Acid-Biosynthesis (Amino Acid Biosynthesis); COMPLETE-ARO-PWY (superpathway of aromatic amino acid biosynthesis); IND-AMINO-ACID-SYN (Proteinogenic Amino Acid Biosynthesis); PWY-6629 (superpathway of L-tryptophan biosynthesis); TRPSYN-PWY (L-tryptophan biosynthesis); TRYPTOPHAN-BIOSYNTHESIS (L-tryptophan Biosynthesis)|KEGG: rn00400 (Phenylalanine, tyrosine and tryptophan biosynthesis); rn01110 (Biosynthesis of secondary metabolites); rn01230 (Biosynthesis of amino acids)"
