locus_tag_from_mut_lib,protein_accession,locus_tag_from_model
MIT1002_01100,WP_039224872.1,TK37_RS12875
MIT1002_01101,WP_014948647.1,TK37_RS12870
MIT1002_01102,WP_014948648.1,TK37_RS12865
MIT1002_01103,WP_014948649.1,TK37_RS12860
MIT1002_01104,WP_012517682.1,TK37_RS12855
MIT1002_01105,WP_014948650.1,TK37_RS12850
MIT1002_01106,WP_049588036.1,TK37_RS12845
MIT1002_01107,WP_049588035.1,TK37_RS12840
MIT1002_01108,WP_049588033.1,TK37_RS12835
MIT1002_01109,WP_049588032.1,TK37_RS12830
MIT1002_01110,WP_014948654.1,TK37_RS12825
MIT1002_01111,WP_049588030.1,TK37_RS12820
MIT1002_01112,WP_039224879.1,TK37_RS12815
MIT1002_01113,WP_049588028.1,TK37_RS12810
MIT1002_01114,WP_049588027.1,TK37_RS12805
MIT1002_01115,WP_049588026.1,TK37_RS12800
MIT1002_01116,WP_014948660.1,TK37_RS12795
MIT1002_01118,WP_039223026.1,TK37_RS11275
MIT1002_01119,WP_014948662.1,
MIT1002_01120,WP_049587659.1,TK37_RS11285
MIT1002_01121,WP_014948664.1,TK37_RS11290
MIT1002_01122,WP_049587661.1,TK37_RS11295
MIT1002_01123,WP_014948666.1,TK37_RS11300
MIT1002_01124,WP_049587663.1,TK37_RS11305
MIT1002_01125,WP_049587665.1,TK37_RS11310
MIT1002_01126,WP_049587666.1,TK37_RS11315
MIT1002_01127,WP_014948670.1,TK37_RS11320
MIT1002_01128,WP_014948671.1,TK37_RS11325
MIT1002_01129,WP_012517705.1,TK37_RS11330
MIT1002_01134,WP_049587668.1,TK37_RS11355
MIT1002_01135,WP_049587671.1,TK37_RS11360
MIT1002_01136,WP_014948675.1,TK37_RS11365
MIT1002_01137,WP_039233285.1,TK37_RS11370
MIT1002_01138,WP_014978627.1,TK37_RS11375
MIT1002_01139,WP_014948678.1,TK37_RS11380
MIT1002_01140,WP_080752378.1,TK37_RS11385
MIT1002_01141,WP_014975926.1,TK37_RS11390
MIT1002_01142,WP_049587674.1,TK37_RS11395
MIT1002_01143,WP_014948682.1,TK37_RS11400
MIT1002_01144,WP_014948683.1,TK37_RS11405
MIT1002_01145,WP_014948684.1,TK37_RS11410
MIT1002_01146,WP_014948685.1,TK37_RS11415
MIT1002_01147,WP_014948686.1,TK37_RS11420
MIT1002_01148,WP_049587676.1,TK37_RS11425
MIT1002_01149,WP_014975930.1,TK37_RS11430
MIT1002_01150,WP_014948689.1,TK37_RS11435
MIT1002_01151,WP_049587678.1,TK37_RS11440
MIT1002_01153,WP_014948691.1,TK37_RS11445
MIT1002_01154,WP_049587680.1,TK37_RS11450
MIT1002_01155,WP_039226416.1,TK37_RS11455
MIT1002_01156,WP_152910887.1,TK37_RS11460
MIT1002_01157,WP_049587684.1,TK37_RS11465
MIT1002_01158,WP_049587685.1,TK37_RS11470
MIT1002_01159,WP_014948697.1,TK37_RS11475
MIT1002_01160,WP_049587687.1,TK37_RS11480
MIT1002_01161,WP_231514257.1,
MIT1002_01162,WP_014975937.1,TK37_RS11490
MIT1002_01163,WP_014948702.1,TK37_RS11495
MIT1002_01164,WP_049587691.1,TK37_RS11500
MIT1002_01165,WP_012517736.1,TK37_RS11505
MIT1002_01166,WP_012517737.1,TK37_RS11510
MIT1002_01167,WP_014948704.1,TK37_RS11515
MIT1002_01168,WP_014975939.1,TK37_RS11520
MIT1002_01169,WP_049587693.1,TK37_RS11525
MIT1002_01170,WP_012517742.1,TK37_RS11530
MIT1002_01172,WP_049587695.1,TK37_RS11535
MIT1002_01173,WP_014975943.1,TK37_RS11540
MIT1002_01174,WP_049587696.1,TK37_RS11545
MIT1002_01175,WP_231514258.1,
MIT1002_01177,WP_049587698.1,TK37_RS11560
MIT1002_01178,WP_049587699.1,TK37_RS11565
MIT1002_01179,WP_049587709.1,TK37_RS11570
MIT1002_01180,WP_049587701.1,TK37_RS11575
MIT1002_01181,WP_049587703.1,TK37_RS11580
MIT1002_01182,WP_049587705.1,
MIT1002_01183,WP_231506428.1,
MIT1002_01186,WP_049585763.1,TK37_RS01225
MIT1002_01187,WP_049585766.1,TK37_RS01230
MIT1002_01188,WP_014948722.1,TK37_RS01235
MIT1002_01189,WP_049585771.1,TK37_RS01240
MIT1002_01190,WP_049585773.1,TK37_RS01245
MIT1002_01191,WP_014948725.1,TK37_RS01250
MIT1002_01192,WP_014948726.1,TK37_RS01255
MIT1002_01193,WP_014948727.1,TK37_RS01260
MIT1002_01194,WP_049585779.1,TK37_RS01265
MIT1002_01195,WP_049585781.1,TK37_RS01270
MIT1002_01196,WP_014948730.1,TK37_RS01275
MIT1002_01197,WP_014948731.1,TK37_RS01280
MIT1002_01198,WP_049585783.1,TK37_RS01285
MIT1002_01199,WP_235437059.1,
MIT1002_01200,WP_049585786.1,TK37_RS01295
MIT1002_01201,WP_049585787.1,TK37_RS01300
MIT1002_01202,WP_049585789.1,TK37_RS01305
MIT1002_01203,WP_311135859.1,
MIT1002_01204,WP_049585790.1,TK37_RS01315
MIT1002_01205,WP_049585792.1,TK37_RS01320
MIT1002_01206,WP_049585794.1,TK37_RS01325
MIT1002_01207,WP_049585915.1,TK37_RS01330
MIT1002_01208,WP_049585796.1,TK37_RS01335
MIT1002_01209,WP_049585798.1,TK37_RS01340
MIT1002_01210,WP_039226505.1,TK37_RS01345
MIT1002_01211,WP_080986366.1,TK37_RS01350
MIT1002_01212,WP_231514260.1,
MIT1002_01213,WP_049585804.1,TK37_RS01360
MIT1002_01214,WP_014948746.1,TK37_RS01365
MIT1002_01215,WP_152910863.1,TK37_RS01370
MIT1002_01216,WP_049585808.1,TK37_RS01375
MIT1002_01217,WP_049585810.1,TK37_RS01380
MIT1002_01219,WP_049585812.1,TK37_RS01385
MIT1002_01220,WP_014948751.1,TK37_RS01390
MIT1002_01221,WP_049585814.1,TK37_RS01395
MIT1002_01222,WP_080986367.1,TK37_RS01400
MIT1002_01223,WP_014948754.1,TK37_RS01405
MIT1002_01224,WP_049585818.1,TK37_RS01410
MIT1002_01225,WP_014948756.1,TK37_RS01415
MIT1002_01226,WP_012517787.1,
MIT1002_01227,WP_049585820.1,TK37_RS01420
MIT1002_01228,WP_049585917.1,TK37_RS01425
MIT1002_01229,WP_039222880.1,TK37_RS01430
MIT1002_01230,WP_049585822.1,TK37_RS01435
MIT1002_01231,WP_014978686.1,TK37_RS01440
MIT1002_01232,WP_014948762.1,TK37_RS01445
MIT1002_01233,WP_014975982.1,TK37_RS01450
MIT1002_01234,WP_014948764.1,TK37_RS01455
MIT1002_01235,WP_014948765.1,TK37_RS01460
MIT1002_01236,WP_039226539.1,TK37_RS01465
MIT1002_01237,WP_014948766.1,TK37_RS01470
MIT1002_01238,WP_049585828.1,TK37_RS01475
MIT1002_01239,WP_049585829.1,TK37_RS01480
MIT1002_01240,WP_014948769.1,TK37_RS01485
MIT1002_01241,WP_014948770.1,TK37_RS01490
MIT1002_01242,WP_014948771.1,TK37_RS01495
MIT1002_01243,WP_014975986.1,TK37_RS01500
MIT1002_01244,WP_049585830.1,TK37_RS01505
MIT1002_01245,WP_014948774.1,
MIT1002_01246,WP_049585831.1,TK37_RS01515
MIT1002_01248,WP_014948776.1,TK37_RS01520
MIT1002_01249,WP_039233139.1,TK37_RS01525
MIT1002_01250,WP_014948778.1,TK37_RS01530
MIT1002_01251,WP_049585832.1,TK37_RS01535
MIT1002_01252,WP_049585833.1,TK37_RS01540
MIT1002_01253,WP_049585834.1,TK37_RS01545
MIT1002_01254,WP_049585835.1,TK37_RS01550
MIT1002_01255,WP_049585836.1,TK37_RS01555
MIT1002_01256,WP_014975992.1,TK37_RS01560
MIT1002_01257,WP_014975993.1,TK37_RS01565
MIT1002_01260,WP_049585837.1,
MIT1002_01261,WP_014948785.1,TK37_RS01585
MIT1002_01262,WP_014948786.1,TK37_RS01590
MIT1002_01263,WP_014975995.1,TK37_RS01595
MIT1002_01264,WP_014948788.1,TK37_RS01600
MIT1002_01265,WP_014975996.1,TK37_RS01605
MIT1002_01266,WP_014948790.1,TK37_RS01610
MIT1002_01267,WP_049585838.1,TK37_RS01615
MIT1002_01269,WP_014948793.1,TK37_RS01625
MIT1002_01270,WP_049585839.1,TK37_RS01630
MIT1002_01271,WP_014948795.1,TK37_RS01635
MIT1002_01272,WP_049585840.1,TK37_RS01640
MIT1002_01273,WP_049585841.1,TK37_RS01645
MIT1002_01274,WP_049585842.1,TK37_RS01650
MIT1002_01275,WP_049585843.1,TK37_RS01655
MIT1002_01276,WP_231514261.1,
MIT1002_01277,WP_014948800.1,TK37_RS01665
MIT1002_01278,WP_039233340.1,TK37_RS01670
MIT1002_01279,WP_049585845.1,TK37_RS01675
MIT1002_01280,WP_049585846.1,TK37_RS01680
MIT1002_01281,WP_049585847.1,TK37_RS01685
MIT1002_01282,WP_049585848.1,TK37_RS01690
MIT1002_01283,WP_049585849.1,TK37_RS01695
MIT1002_01284,WP_049585850.1,TK37_RS01700
MIT1002_01285,WP_014948808.1,TK37_RS01705
MIT1002_01286,WP_049585851.1,TK37_RS01710
MIT1002_01287,WP_049585918.1,TK37_RS01715
MIT1002_01288,WP_049585852.1,TK37_RS01720
MIT1002_01289,WP_196494328.1,
MIT1002_01290,WP_053103807.1,TK37_RS01730
MIT1002_01291,WP_049585854.1,TK37_RS01735
MIT1002_01292,WP_014976012.1,
MIT1002_01293,WP_014978722.1,TK37_RS01745
MIT1002_01294,WP_014948817.1,TK37_RS01750
MIT1002_01295,WP_014948818.1,TK37_RS01755
MIT1002_01296,WP_014948819.1,TK37_RS01760
MIT1002_01297,WP_049585855.1,TK37_RS01765
MIT1002_01298,WP_049585856.1,TK37_RS01770
MIT1002_01299,WP_014978725.1,TK37_RS01775
MIT1002_01300,WP_049585857.1,TK37_RS01780
MIT1002_01301,WP_049585858.1,TK37_RS01785
MIT1002_01302,WP_049585859.1,TK37_RS01790
MIT1002_01303,WP_049585860.1,TK37_RS01795
MIT1002_01304,WP_014948828.1,TK37_RS01800
MIT1002_01305,WP_049585861.1,TK37_RS01805
MIT1002_01306,WP_049585862.1,TK37_RS01810
MIT1002_01307,WP_049585863.1,TK37_RS01815
MIT1002_01308,WP_014948832.1,TK37_RS01820
MIT1002_01309,WP_049585864.1,TK37_RS01825
MIT1002_01310,WP_080986369.1,TK37_RS01830
MIT1002_01311,WP_024015986.1,TK37_RS01835
MIT1002_01312,WP_014948836.1,TK37_RS01840
MIT1002_01313,WP_014948837.1,TK37_RS01845
MIT1002_01314,WP_014948838.1,TK37_RS01850
MIT1002_01315,WP_014976023.1,TK37_RS01855
MIT1002_01316,WP_197047971.1,
MIT1002_01317,WP_014948846.1,TK37_RS01865
MIT1002_01318,WP_049585866.1,TK37_RS01870
MIT1002_01319,WP_014948848.1,TK37_RS01875
MIT1002_01320,WP_049585867.1,TK37_RS01880
MIT1002_01321,WP_014948851.1,TK37_RS01885
MIT1002_01322,WP_049585868.1,TK37_RS01890
MIT1002_01323,WP_223866688.1,
MIT1002_01324,WP_049585869.1,TK37_RS01900
MIT1002_01325,WP_014948856.1,TK37_RS01905
MIT1002_01326,WP_049585870.1,TK37_RS01910
MIT1002_01327,WP_014976033.1,TK37_RS01915
MIT1002_01328,WP_049585871.1,TK37_RS01920
MIT1002_01329,WP_049585872.1,TK37_RS01925
MIT1002_01330,WP_049585873.1,TK37_RS01930
MIT1002_01331,WP_039216777.1,TK37_RS01935
MIT1002_01332,WP_014948863.1,TK37_RS01940
MIT1002_01333,WP_014976035.1,TK37_RS01945
MIT1002_01334,WP_049585874.1,TK37_RS01950
MIT1002_01335,WP_014948866.1,TK37_RS01955
MIT1002_01336,WP_014948867.1,TK37_RS01960
MIT1002_01337,WP_049585921.1,TK37_RS01965
MIT1002_01338,WP_014948869.1,TK37_RS01970
MIT1002_01339,WP_014948870.1,TK37_RS01975
MIT1002_01340,WP_080986370.1,TK37_RS01980
MIT1002_01344,WP_049585876.1,TK37_RS02000
MIT1002_01346,WP_039233464.1,TK37_RS02010
MIT1002_01347,WP_049585877.1,TK37_RS02015
MIT1002_01348,WP_049585878.1,TK37_RS02020
MIT1002_01349,WP_231514262.1,
MIT1002_01350,WP_235437058.1,
MIT1002_01351,WP_049585881.1,TK37_RS02035
MIT1002_01352,WP_014948878.1,TK37_RS02040
MIT1002_01353,WP_049585883.1,TK37_RS02050
MIT1002_01354,WP_049585884.1,TK37_RS02055
MIT1002_01355,WP_049585885.1,TK37_RS02060
MIT1002_01356,WP_049585886.1,TK37_RS02065
MIT1002_01357,WP_049585887.1,TK37_RS02070
MIT1002_01358,WP_049585888.1,TK37_RS02075
MIT1002_01359,WP_049585889.1,TK37_RS02080
MIT1002_01360,WP_039227323.1,TK37_RS02085
MIT1002_01361,WP_014976048.1,TK37_RS02090
MIT1002_01362,WP_049585922.1,TK37_RS02095
MIT1002_01363,WP_049585890.1,TK37_RS02100
MIT1002_01364,WP_049585891.1,TK37_RS02105
MIT1002_01365,WP_049585923.1,TK37_RS02110
MIT1002_01366,WP_049585892.1,TK37_RS02115
MIT1002_01367,WP_049585893.1,TK37_RS02120
MIT1002_01368,WP_049585894.1,TK37_RS02125
MIT1002_01369,WP_152910865.1,TK37_RS02130
MIT1002_01370,WP_053103808.1,
MIT1002_01371,WP_049585896.1,TK37_RS02140
MIT1002_01372,WP_049585897.1,TK37_RS02145
MIT1002_01373,WP_049585898.1,TK37_RS02150
MIT1002_01374,WP_049585899.1,TK37_RS02155
MIT1002_01375,WP_049585900.1,TK37_RS02160
MIT1002_01376,WP_231514263.1,
MIT1002_01377,WP_049585901.1,TK37_RS02170
MIT1002_01378,WP_049585925.1,TK37_RS02175
MIT1002_01379,WP_049585902.1,TK37_RS02180
MIT1002_01380,WP_049585903.1,TK37_RS02185
MIT1002_01381,WP_049585904.1,TK37_RS02190
MIT1002_01382,WP_049585905.1,TK37_RS02195
MIT1002_01383,WP_014978798.1,TK37_RS02200
MIT1002_01384,WP_014948910.1,TK37_RS02205
MIT1002_01385,WP_049585906.1,TK37_RS02210
MIT1002_01386,WP_049585907.1,TK37_RS02215
MIT1002_01387,WP_014978802.1,TK37_RS02220
MIT1002_01388,WP_049585908.1,TK37_RS02225
MIT1002_01389,WP_049585909.1,TK37_RS02230
MIT1002_01390,WP_014948916.1,TK37_RS02235
MIT1002_01391,WP_049585910.1,TK37_RS02240
MIT1002_01392,WP_014948918.1,TK37_RS02245
MIT1002_01393,WP_014948919.1,TK37_RS02250
MIT1002_01394,WP_049585911.1,TK37_RS02255
MIT1002_01395,WP_049585912.1,TK37_RS02265
MIT1002_01396,WP_014948922.1,TK37_RS02270
MIT1002_01397,WP_049585913.1,TK37_RS02275
MIT1002_01402,WP_049589208.1,TK37_RS20380
MIT1002_01408,WP_049586858.1,TK37_RS07325
MIT1002_01409,WP_049586856.1,TK37_RS07320
MIT1002_01410,WP_049586854.1,TK37_RS07315
MIT1002_01411,WP_049586853.1,TK37_RS07310
MIT1002_01412,WP_049586852.1,TK37_RS07305
MIT1002_01413,WP_080589178.1,TK37_RS20805
MIT1002_01414,WP_049586851.1,TK37_RS07300
MIT1002_01415,WP_039225748.1,TK37_RS07295
MIT1002_01416,WP_049586849.1,TK37_RS07290
MIT1002_01417,WP_049586847.1,TK37_RS07285
MIT1002_01418,WP_012517852.1,TK37_RS07280
MIT1002_01419,WP_049586845.1,TK37_RS07275
MIT1002_01420,WP_049586843.1,TK37_RS07270
MIT1002_01421,WP_014948936.1,TK37_RS07265
MIT1002_01422,WP_014948937.1,TK37_RS07260
MIT1002_01423,WP_049586841.1,TK37_RS07255
MIT1002_01424,WP_049586839.1,TK37_RS07250
MIT1002_01425,WP_049586837.1,TK37_RS07245
MIT1002_01426,WP_049586836.1,TK37_RS07240
MIT1002_01427,WP_049586834.1,TK37_RS07235
MIT1002_01428,WP_049586832.1,TK37_RS07230
MIT1002_01429,WP_049586830.1,TK37_RS07225
MIT1002_01430,WP_049586828.1,TK37_RS07220
MIT1002_01431,WP_049586825.1,TK37_RS07215
MIT1002_01432,WP_014948946.1,TK37_RS07210
MIT1002_01433,WP_049586823.1,TK37_RS07205
MIT1002_01434,WP_014948948.1,TK37_RS07200
MIT1002_01435,WP_014948949.1,TK37_RS07195
MIT1002_01436,WP_039225720.1,TK37_RS07190
MIT1002_01437,WP_049586820.1,TK37_RS07185
MIT1002_01438,WP_049586818.1,TK37_RS07180
MIT1002_01440,WP_049586817.1,TK37_RS07170
MIT1002_01441,WP_049586815.1,TK37_RS07165
MIT1002_01442,WP_012517879.1,TK37_RS07160
MIT1002_01443,WP_049586813.1,TK37_RS07155
MIT1002_01444,WP_014976104.1,TK37_RS07150
MIT1002_01445,WP_014948959.1,TK37_RS07145
MIT1002_01446,WP_049586811.1,TK37_RS07140
MIT1002_01447,WP_049586860.1,TK37_RS07135
MIT1002_01448,WP_049586810.1,TK37_RS07130
MIT1002_01449,WP_049586808.1,TK37_RS07125
MIT1002_01450,WP_049586806.1,TK37_RS07120
MIT1002_01451,WP_049586804.1,TK37_RS07115
MIT1002_01452,WP_049586801.1,TK37_RS07110
MIT1002_01453,WP_049586800.1,TK37_RS07105
MIT1002_01454,WP_049586798.1,TK37_RS07100
MIT1002_01455,WP_049586796.1,TK37_RS07095
MIT1002_01456,WP_049586795.1,TK37_RS07090
MIT1002_01457,WP_014948972.1,TK37_RS07085
MIT1002_01458,WP_014948973.1,TK37_RS07080
MIT1002_01459,WP_014948974.1,TK37_RS07075
MIT1002_01460,WP_156080641.1,TK37_RS21340
MIT1002_01461,WP_049586793.1,TK37_RS07070
MIT1002_01462,WP_049586792.1,TK37_RS07065
MIT1002_01463,WP_049586790.1,TK37_RS07060
MIT1002_01464,WP_049586859.1,TK37_RS07055
MIT1002_01465,WP_014976121.1,TK37_RS07050
MIT1002_01466,WP_014948979.1,TK37_RS07045
MIT1002_01467,WP_049586789.1,TK37_RS07040
MIT1002_01468,WP_014948981.1,TK37_RS07035
MIT1002_01469,WP_049586788.1,TK37_RS07030
MIT1002_01470,WP_014948985.1,TK37_RS07025
MIT1002_01471,WP_014948986.1,TK37_RS07020
MIT1002_01472,WP_049586787.1,TK37_RS07015
MIT1002_01473,WP_049586785.1,TK37_RS07010
MIT1002_01474,WP_049586784.1,TK37_RS07005
MIT1002_01475,WP_049586783.1,TK37_RS07000
MIT1002_01476,WP_049586782.1,TK37_RS06995
MIT1002_01477,WP_014948991.1,TK37_RS06990
MIT1002_01478,WP_049586781.1,TK37_RS06985
MIT1002_01479,WP_039216249.1,TK37_RS06980
MIT1002_01480,WP_049586779.1,TK37_RS06975
MIT1002_01481,WP_049586778.1,TK37_RS06970
MIT1002_01482,WP_014948996.1,
MIT1002_01483,WP_049586777.1,TK37_RS06965
MIT1002_01484,WP_014976138.1,TK37_RS06960
MIT1002_01485,WP_049586775.1,TK37_RS06955
MIT1002_01486,WP_156080642.1,
MIT1002_01488,WP_014949001.1,
MIT1002_01490,WP_039225628.1,TK37_RS17850
MIT1002_01491,WP_014976142.1,TK37_RS17855
MIT1002_01492,WP_080986466.1,TK37_RS17860
MIT1002_01493,WP_049588852.1,TK37_RS17865
MIT1002_01494,WP_014949007.1,TK37_RS17870
MIT1002_01503,WP_049588853.1,TK37_RS17915
MIT1002_01504,WP_014949009.1,TK37_RS17920
MIT1002_01505,WP_014976149.1,TK37_RS17925
MIT1002_01506,WP_014976150.1,TK37_RS17930
MIT1002_01507,WP_049588854.1,TK37_RS17935
MIT1002_01508,WP_049588855.1,TK37_RS17940
MIT1002_01509,WP_014949014.1,TK37_RS17945
MIT1002_01511,WP_049588856.1,TK37_RS17955
MIT1002_01512,WP_049588857.1,TK37_RS17960
MIT1002_01513,WP_014949017.1,TK37_RS17965
MIT1002_01514,WP_014949018.1,TK37_RS17970
MIT1002_01515,WP_049588858.1,TK37_RS17975
MIT1002_01516,WP_049588859.1,TK37_RS17980
MIT1002_01517,WP_014949021.1,TK37_RS17985
MIT1002_01518,WP_014949022.1,TK37_RS17990
MIT1002_01519,WP_014949023.1,TK37_RS17995
MIT1002_01520,WP_014949024.1,TK37_RS18000
MIT1002_01521,WP_014976158.1,TK37_RS18005
MIT1002_01522,WP_049588860.1,TK37_RS18010
MIT1002_01523,WP_049588861.1,TK37_RS18015
MIT1002_01524,WP_049588862.1,TK37_RS18020
MIT1002_01527,WP_231514265.1,
MIT1002_01528,WP_049588984.1,TK37_RS18880
MIT1002_01529,WP_014949030.1,TK37_RS18875
MIT1002_01530,WP_049588983.1,TK37_RS18870
MIT1002_01531,WP_049588982.1,TK37_RS18865
MIT1002_01532,WP_049588981.1,TK37_RS18860
MIT1002_01533,WP_049588980.1,TK37_RS18855
MIT1002_01534,WP_049588979.1,TK37_RS18850
MIT1002_01535,WP_049588978.1,TK37_RS18845
MIT1002_01537,WP_049588977.1,
MIT1002_01538,WP_049588976.1,TK37_RS18835
MIT1002_01539,WP_049588975.1,TK37_RS18830
MIT1002_01540,WP_014949040.1,TK37_RS18825
MIT1002_01541,WP_049588974.1,TK37_RS18820
MIT1002_01542,WP_080986474.1,TK37_RS18815
MIT1002_01543,WP_049588973.1,TK37_RS18810
MIT1002_01544,WP_049588972.1,TK37_RS18805
MIT1002_01545,WP_049588971.1,TK37_RS18800
MIT1002_01546,WP_014949045.1,TK37_RS18795
MIT1002_01547,WP_049588970.1,TK37_RS18790
MIT1002_01548,WP_014949047.1,TK37_RS18785
MIT1002_01549,WP_039221977.1,TK37_RS20605
MIT1002_03403,WP_039221977.1,TK37_RS20605
MIT1002_01550,WP_039221975.1,
MIT1002_01552,WP_049588790.1,
MIT1002_01553,WP_014978916.1,TK37_RS17425
MIT1002_01554,WP_049588791.1,TK37_RS17430
MIT1002_01555,WP_014976177.1,TK37_RS17435
MIT1002_01556,WP_069944069.1,TK37_RS17440
MIT1002_01558,WP_049588792.1,TK37_RS17450
MIT1002_01559,WP_049588793.1,TK37_RS17455
MIT1002_01560,WP_080986465.1,TK37_RS17460
MIT1002_01561,WP_049588794.1,TK37_RS17465
MIT1002_01562,WP_049588795.1,TK37_RS17470
MIT1002_01563,WP_049588796.1,TK37_RS17475
MIT1002_01564,WP_049588797.1,TK37_RS17480
MIT1002_01565,WP_231514266.1,
MIT1002_01566,WP_049588798.1,TK37_RS17490
MIT1002_01567,WP_014949064.1,TK37_RS17495
MIT1002_01568,WP_049588799.1,TK37_RS17500
MIT1002_01569,WP_049588800.1,TK37_RS17505
MIT1002_01570,WP_049588801.1,TK37_RS17510
MIT1002_01571,WP_014976192.1,TK37_RS17515
MIT1002_01572,WP_049588802.1,TK37_RS17520
MIT1002_01573,WP_049588803.1,TK37_RS17525
MIT1002_01574,WP_049588804.1,TK37_RS17530
MIT1002_01575,WP_049588805.1,TK37_RS17535
MIT1002_01576,WP_014949073.1,TK37_RS17540
MIT1002_01577,WP_049588806.1,TK37_RS17545
MIT1002_01578,WP_049588807.1,
MIT1002_01579,WP_049588808.1,TK37_RS17560
MIT1002_01580,WP_049588809.1,TK37_RS17565
MIT1002_01582,WP_049588833.1,TK37_RS17705
MIT1002_01583,WP_049588834.1,
MIT1002_01584,WP_049588835.1,TK37_RS17715
MIT1002_01585,WP_049588836.1,TK37_RS17720
MIT1002_01586,WP_049588837.1,TK37_RS17725
MIT1002_01587,WP_049588838.1,TK37_RS17730
MIT1002_01588,WP_049588839.1,TK37_RS17735
MIT1002_01589,WP_049588840.1,
MIT1002_01590,WP_014976207.1,TK37_RS17745
MIT1002_01591,WP_049588841.1,TK37_RS17750
MIT1002_01592,WP_049588842.1,TK37_RS17755
MIT1002_01593,WP_014949089.1,TK37_RS17760
MIT1002_01594,WP_049588843.1,TK37_RS17765
MIT1002_01595,WP_049588844.1,TK37_RS17770
MIT1002_01596,WP_039230097.1,TK37_RS17775
MIT1002_01597,WP_014949093.1,TK37_RS17780
MIT1002_01598,WP_014976215.1,TK37_RS17785
MIT1002_01599,WP_049588845.1,TK37_RS17790
MIT1002_01600,WP_049588846.1,TK37_RS17795
MIT1002_01601,WP_049588847.1,TK37_RS17800
MIT1002_01602,WP_049588848.1,TK37_RS17805
MIT1002_01603,WP_049588849.1,TK37_RS17810
MIT1002_01604,WP_071814473.1,TK37_RS17815
MIT1002_01605,WP_012518091.1,TK37_RS17820
MIT1002_01606,WP_012518092.1,TK37_RS17825
MIT1002_01608,WP_049588850.1,TK37_RS17835
MIT1002_01610,WP_049586449.1,TK37_RS05285
MIT1002_01611,WP_039230079.1,
MIT1002_01612,WP_049586452.1,TK37_RS05295
MIT1002_01613,WP_049586453.1,TK37_RS05300
MIT1002_01614,WP_049586454.1,TK37_RS05305
MIT1002_01615,WP_039230069.1,TK37_RS05310
MIT1002_01616,WP_049586456.1,TK37_RS05315
MIT1002_01617,WP_014976229.1,TK37_RS05320
MIT1002_01618,WP_049586458.1,TK37_RS05325
MIT1002_01619,WP_014949111.1,TK37_RS05330
MIT1002_01620,WP_049586459.1,TK37_RS05335
MIT1002_01621,WP_049586461.1,TK37_RS05340
MIT1002_01622,WP_049586463.1,TK37_RS05345
MIT1002_01623,WP_049586554.1,TK37_RS05350
MIT1002_01624,WP_049586464.1,TK37_RS05355
MIT1002_01625,WP_080986388.1,TK37_RS05360
MIT1002_01626,WP_049586466.1,TK37_RS05365
MIT1002_01627,WP_049586467.1,TK37_RS05370
MIT1002_01628,WP_049586469.1,TK37_RS05375
MIT1002_01629,WP_049586470.1,TK37_RS05380
MIT1002_01630,WP_231514269.1,
MIT1002_01631,WP_231514270.1,
MIT1002_01632,WP_049586474.1,TK37_RS05395
MIT1002_01633,WP_049586475.1,TK37_RS05400
MIT1002_01634,WP_049586477.1,TK37_RS05410
MIT1002_01635,WP_264353772.1,
MIT1002_01636,WP_012518127.1,TK37_RS05420
MIT1002_01637,WP_049586479.1,TK37_RS05425
MIT1002_01638,WP_014949129.1,TK37_RS05430
MIT1002_01639,WP_049586481.1,TK37_RS05435
MIT1002_01640,WP_049586483.1,TK37_RS05440
MIT1002_01641,WP_049586485.1,TK37_RS05445
MIT1002_01642,WP_049586487.1,TK37_RS05450
MIT1002_01643,WP_049586557.1,TK37_RS05455
MIT1002_01644,WP_049586488.1,TK37_RS05460
MIT1002_01645,WP_049586489.1,TK37_RS05465
MIT1002_01646,WP_049586490.1,TK37_RS05470
MIT1002_01647,WP_049586491.1,TK37_RS05475
MIT1002_01648,WP_049586492.1,TK37_RS05480
MIT1002_01649,WP_014949139.1,TK37_RS05485
MIT1002_01650,WP_231514272.1,
MIT1002_01651,WP_049586496.1,TK37_RS05495
MIT1002_01652,WP_014949143.1,TK37_RS05500
MIT1002_01653,WP_049586497.1,TK37_RS05505
MIT1002_01654,WP_049586498.1,TK37_RS05510
MIT1002_01655,WP_049586501.1,TK37_RS05515
MIT1002_01656,WP_049586503.1,TK37_RS05520
MIT1002_01657,WP_014976262.1,TK37_RS05525
MIT1002_01658,WP_039227081.1,TK37_RS05530
MIT1002_01659,WP_049586506.1,TK37_RS05535
MIT1002_01660,WP_049586509.1,TK37_RS05540
MIT1002_01661,WP_014976266.1,TK37_RS05545
MIT1002_01662,WP_014976267.1,TK37_RS05550
MIT1002_01663,WP_049586511.1,TK37_RS05555
MIT1002_01664,WP_049586514.1,
MIT1002_01665,WP_080986391.1,TK37_RS05565
MIT1002_01666,WP_049586517.1,TK37_RS05570
MIT1002_01667,WP_049586519.1,TK37_RS05575
MIT1002_01668,WP_049586521.1,TK37_RS05580
MIT1002_01669,WP_049586522.1,TK37_RS05585
MIT1002_01670,WP_014949161.1,TK37_RS05590
MIT1002_01671,WP_049586525.1,TK37_RS05595
MIT1002_01672,WP_049586558.1,TK37_RS05600
MIT1002_01673,WP_080986392.1,TK37_RS05605
MIT1002_01674,WP_049586559.1,TK37_RS05610
